DATE,Trend, rate (FEDs rate),CPI,Core CPI ,EPS($),  PE Ratio,Price
1/1/2010,1,0.05,2.62111,1.51234,0.31,20.8,157.649994
2/1/2010,1,0.14,2.15134,1.34945,0.31,20.8,174.610001
3/1/2010,1,0.14,2.28617,1.15921,0.31,20.8,165.119995
4/1/2010,1,0.17,2.20677,0.96751,0.36,19.76,174.779999
5/1/2010,1,0.2,2.00355,0.94014,0.36,19.76,177.570007
6/1/2010,1,0.2,1.12156,0.9502,0.36,19.76,165.300003
7/1/2010,1,0.17,1.34078,0.95775,0.44,17.44,149.800003
8/1/2010,1,0.18,1.15018,0.9171,0.44,17.44,141.5
9/1/2010,1,0.19,1.11831,0.81439,0.44,17.44,151.830002
10/1/2010,1,0.2,1.1667,0.60272,0.54,16.01,145.860001
11/1/2010,1,0.2,1.08454,0.67206,0.54,16.01,136.960007
12/1/2010,1,0.2,1.43779,0.66189,0.54,16.01,124.610001
1/1/2011,1,0.13,1.70078,0.98353,0.64,15.4,131.460007
2/1/2011,1,0.18,2.1249,1.12445,0.64,15.4,122.150002
3/1/2011,1,0.15,2.61924,1.20979,0.64,15.4,121.260002
4/1/2011,1,0.11,3.07723,1.31554,0.75,14.2,131.960007
5/1/2011,1,0.09,3.45897,1.4541,0.75,14.2,132.690002
6/1/2011,1,0.1,3.50232,1.58368,0.75,14.2,119.050003
7/1/2011,1,0.08,3.57988,1.74148,0.9,11.36,108.860001
8/1/2011,1,0.17,3.755,1.96516,0.9,11.36,115.809998
9/1/2011,1,0.08,3.81262,1.98772,0.9,11.36,129.039993
10/1/2011,1,0.06,3.52227,2.10792,0.99,11.78,106.260002
11/1/2011,1,0.08,3.45143,2.1382,0.99,11.78,91.199997
12/1/2011,1,0.08,3.06207,2.27666,0.99,11.78,79.485001
1/1/2012,1,0.04,3.00877,2.27735,1.25,9.86,73.449997
2/1/2012,1,0.11,2.89818,2.15982,1.25,9.86,63.572498
3/1/2012,1,0.11,2.58288,2.24834,1.25,9.86,68.339996
4/1/2012,1,0.09,2.27316,2.31443,1.46,12.5,77.377502
5/1/2012,1,0.16,1.73794,2.25226,1.46,12.5,73.412498
6/1/2012,1,0.16,1.65387,2.19229,1.46,12.5,66.8125
7/1/2012,1,0.09,1.41751,2.10996,1.52,11.74,62.189999
8/1/2012,1,0.14,1.68593,1.93525,1.52,11.74,55.9925
9/1/2012,1,0.13,1.94972,2.00824,1.52,11.74,52.185001
10/1/2012,0,0.15,2.15568,1.99465,1.58,12.97,53.259998
11/1/2012,0,0.17,1.79602,1.95285,1.58,12.97,49.48
12/1/2012,0,0.16,1.7595,1.89969,1.58,12.97,43.767502
1/1/2013,0,0.09,1.68406,1.9098,1.58,10.41,50.1675
2/1/2013,0,0.14,2.01814,1.98874,1.58,10.41,47.487499
3/1/2013,0,0.14,1.51875,1.88902,1.58,10.41,43.287498
4/1/2013,0,0.16,1.13881,1.71556,1.5,9.17,41.610001
5/1/2013,0,0.14,1.39039,1.64555,1.5,9.17,39.435001
6/1/2013,0,0.09,1.71579,1.6231,1.5,9.17,44.645
7/1/2013,0,0.1,1.88547,1.70022,1.43,8.65,54.715
8/1/2013,0,0.08,1.53881,1.78211,1.43,8.65,56.435001
9/1/2013,0,0.07,1.09473,1.75194,1.43,8.65,56.907501
10/1/2013,0,0.08,0.8768,1.68684,1.42,10.58,47.572498
11/1/2013,0,0.08,1.23287,1.74167,1.42,10.58,46.2775
12/1/2013,0,0.07,1.51284,1.74086,1.42,10.58,46.717499
1/1/2014,0,0.07,1.55776,1.60703,1.44,12.3,41.314999
2/1/2014,0,0.07,1.12047,1.55481,1.44,12.3,41.945
3/1/2014,0,0.06,1.61269,1.64566,1.44,12.3,44.529999
4/1/2014,0,0.08,2.01513,1.82106,1.49,11.41,41.857498
5/1/2014,1,0.09,2.16695,1.94553,1.49,11.41,42.307499
6/1/2014,1,0.08,2.05898,1.92286,1.49,11.41,42.962502
7/1/2014,1,0.1,1.97424,1.84496,1.55,13.43,42.259998
8/1/2014,1,0.09,1.7151,1.7364,1.55,13.43,38.529999
9/1/2014,1,0.07,1.68405,1.74095,1.55,13.43,41
10/1/2014,1,0.09,1.60954,1.81763,1.61,14.08,37.182499
11/1/2014,1,0.07,1.23152,1.74159,1.61,14.08,36.005001
12/1/2014,1,0.13,0.65312,1.62242,1.61,14.08,38.189999
1/1/2015,1,0.06,-0.22993,1.63163,1.86,13.43,35.912498
2/1/2015,1,0.06,-0.08703,1.68808,1.86,13.43,35.915001
3/1/2015,1,0.06,-0.02203,1.74538,1.86,13.43,34.247501
4/1/2015,1,0.12,-0.10403,1.80283,2.02,13.94,30.3375
5/1/2015,1,0.13,0.03503,1.75094,2.02,13.94,28.955
6/1/2015,1,0.12,0.17957,1.77727,2.02,13.94,27.629999
7/1/2015,1,0.13,0.22569,1.83463,2.17,13.18,28.385
8/1/2015,0,0.08,0.2413,1.85063,2.17,13.18,28.262501
9/1/2015,0,0.14,0.00884,1.8971,2.17,13.18,26.525
10/1/2015,1,0.13,0.12762,1.91353,2.3,10.93,26.0525
11/1/2015,1,0.07,0.43632,1.99743,2.3,10.93,23.9
12/1/2015,0,0.13,0.63872,2.07151,2.3,10.93,24.965
1/1/2016,0,0.2,1.2375,2.14502,2.36,10.26,23.434999
2/1/2016,0,0.38,0.84728,2.22257,2.36,10.26,27.247499
3/1/2016,0,0.36,0.89162,2.14243,2.36,10.26,24.172501
4/1/2016,0,0.37,1.17263,2.15665,2.25,11.19,24.334999
5/1/2016,0,0.3,1.07848,2.25456,2.25,11.19,26.315001
6/1/2016,0,0.37,1.07929,2.26221,2.25,11.19,29.575001
7/1/2016,0,0.41,0.86836,2.17014,2.14,10.37,29.875
8/1/2016,0,0.4,1.05532,2.30873,2.14,10.37,27.575001
9/1/2016,0,0.4,1.54864,2.27112,2.14,10.37,28.190001
10/1/2016,0,0.29,1.68592,2.20456,2.07,12.76,30.325001
11/1/2016,0,0.41,1.68433,2.14542,2.07,12.76,31.3575
12/1/2016,0,0.41,2.0508,2.19712,2.07,12.76,32.57
1/1/2017,1,0.55,2.51039,2.25021,2.09,13.02,31.2875
2/1/2017,1,0.66,2.81036,2.23535,2.09,13.02,31.1075
3/1/2017,1,0.66,2.4412,2.04585,2.09,13.02,32.115002
