Date,Trend, rate (FEDs rate),CPI,Core CPI , EPS,PE Ratio,Stock Price
1/1/2010,1,0.05,2.62111,1.51234,0.28,27.68,7.87
2/1/2010,1,0.14,2.15134,1.34945,0.28,27.68,7.87
3/1/2010,1,0.14,2.28617,1.15921,0.28,27.68,7.87
4/1/2010,1,0.17,2.20677,0.96751,0.32,33.37,10.53
5/1/2010,1,0.2,2.00355,0.94014,0.32,33.37,10.53
6/1/2010,1,0.2,1.12156,0.9502,0.32,33.37,10.53
7/1/2010,1,0.17,1.34078,0.95775,0.35,43.98,15.52
8/1/2010,1,0.18,1.15018,0.9171,0.35,43.98,15.52
9/1/2010,1,0.19,1.11831,0.81439,0.35,43.98,15.52
10/1/2010,1,0.2,1.1667,0.60272,0.38,61.19,23.17
11/1/2010,0,0.2,1.08454,0.67206,0.38,61.19,23.17
12/1/2010,1,0.2,1.43779,0.66189,0.38,61.19,23.17
1/1/2011,1,0.13,1.70078,0.98353,0.42,59.35,25.1
2/1/2011,1,0.18,2.1249,1.12445,0.42,59.35,25.1
3/1/2011,1,0.15,2.61924,1.20979,0.42,59.35,25.1
4/1/2011,1,0.11,3.07723,1.31554,0.50,68.32,33.97
5/1/2011,1,0.09,3.45897,1.4541,0.50,68.32,33.97
6/1/2011,1,0.1,3.50232,1.58368,0.50,68.32,33.97
7/1/2011,0,0.08,3.57988,1.74148,0.56,66.67,37.53
8/1/2011,0,0.17,3.755,1.96516,0.56,66.67,37.53
9/1/2011,0,0.08,3.81262,1.98772,0.56,66.67,37.53
10/1/2011,0,0.06,3.52227,2.10792,0.63,25.74,16.18
11/1/2011,0,0.08,3.45143,2.1382,0.63,25.74,16.18
12/1/2011,0,0.08,3.06207,2.27666,0.63,25.74,16.18
1/1/2012,0,0.04,3.00877,2.27735,0.61,16.26,9.9
2/1/2012,0,0.11,2.89818,2.15982,0.61,16.26,9.9
3/1/2012,0,0.11,2.58288,2.24834,0.61,16.26,9.9
4/1/2012,0,0.09,2.27316,2.31443,0.44,37.47,16.43
5/1/2012,0,0.16,1.73794,2.25226,0.44,37.47,16.43
6/1/2012,0,0.16,1.65387,2.19229,0.44,37.47,16.43
7/1/2012,0,0.09,1.41751,2.10996,0.27,35.67,9.78
8/1/2012,0,0.14,1.68593,1.93525,0.27,35.67,9.78
9/1/2012,0,0.13,1.94972,2.00824,0.27,35.67,9.78
10/1/2012,0,0.15,2.15568,1.99465,0.13,61.14,7.78
