Predicted,date_time
1,8/1/2018
1,9/1/2018
1,10/1/2018
1,11/1/2018
1,12/1/2018
1,1/1/2019
1,2/1/2019
1,3/1/2019
1,4/1/2019
1,5/1/2019
1,6/1/2019
1,7/1/2019
1,8/1/2019
1,9/1/2019
1,10/1/2019
1,11/1/2019
1,12/1/2019
1,1/1/2020
1,2/1/2020
1,3/1/2020
1,4/1/2020
1,5/1/2020
1,6/1/2020
1,7/1/2020
1,8/1/2020
1,9/1/2020
1,10/1/2020
1,11/1/2020
1,12/1/2020
1,1/1/2021
1,2/1/2021
1,3/1/2021
1,4/1/2021
1,5/1/2021
1,6/1/2021
1,7/1/2021
1,8/1/2021
1,9/1/2021
1,10/1/2021
1,11/1/2021
1,12/1/2021
1,1/1/2022
1,2/1/2022
1,3/1/2022
